amfi_code,date,rolling_sharpe
100016,2022-03-07,-1.6546650654160002
100016,2022-03-08,-0.4723597410193689
100016,2022-03-09,-0.5384219447743943
100016,2022-03-10,-0.3652883100571152
100016,2022-03-11,-0.5478706939647119
100016,2022-03-14,-0.444464205506514
100016,2022-03-15,-0.5020003117755305
100016,2022-03-16,-0.6084556827201071
100016,2022-03-17,-0.058982901837096
100016,2022-03-18,0.2769476240985035
100016,2022-03-21,0.31983932359086265
100016,2022-03-22,-0.28173389925294423
100016,2022-03-23,-0.3645003718014219
100016,2022-03-24,0.32690903203390415
100016,2022-03-25,0.2758180008145172
100016,2022-03-28,0.5396479950707194
100016,2022-03-29,0.8697208751987661
100016,2022-03-30,0.9194688733977657
100016,2022-03-31,0.7248613205761482
100016,2022-04-01,0.17888374292690334
100016,2022-04-04,0.33010150704616026
100016,2022-04-05,0.16081379989254588
100016,2022-04-06,0.20274333059872085
100016,2022-04-07,-0.05124600524667136
100016,2022-04-08,-0.09919414307553996
100016,2022-04-11,-0.08566810651535522
100016,2022-04-12,-0.02477158587036769
100016,2022-04-13,-0.23977897551039168
100016,2022-04-14,0.00584676444112637
100016,2022-04-15,-0.10437315632665697
100016,2022-04-18,-0.4133545388799251
100016,2022-04-19,-0.4257494657853435
100016,2022-04-20,-0.4110265586796546
100016,2022-04-21,-0.3728207735122658
100016,2022-04-22,-0.10942281051660306
100016,2022-04-25,-0.14649034777747572
100016,2022-04-26,-0.16196974935939398
100016,2022-04-27,-0.3515581623055817
100016,2022-04-28,-0.19675004336750396
100016,2022-04-29,-0.1578492030672054
100016,2022-05-02,-0.2251367203975321
100016,2022-05-03,-0.5383267019083842
100016,2022-05-04,-0.27964066357867917
100016,2022-05-05,-0.4743164453279835
100016,2022-05-06,-0.5635648868140627
100016,2022-05-09,-0.4963033574513902
100016,2022-05-10,-0.4905707750243628
100016,2022-05-11,-0.9646522387090276
100016,2022-05-12,-1.0760464256892814
