amfi_code,VaR_95
100016,-0.01436363998811114
100025,-0.0037932461995226815
100033,-0.01903353586155882
101206,-0.013281661986281489
101207,-0.026021248221061066
101208,-0.0002686575130400157
102885,-0.012612628820693559
102886,-0.019220283444265022
102887,-0.01523161727915787
118632,-0.013954045870018117
118633,-0.01344252514302424
118634,-0.0254381114589631
118635,-0.012553697284754658
118636,-0.0038041460689443463
119092,-0.013749592076363806
119093,-0.014225516634796051
119094,-0.018480276243938304
119095,-0.02618842440959034
119120,-0.003938283121850804
119551,-0.01284622862884257
119552,-0.01350097047993508
119598,-0.0245070519056771
119599,-0.026859435149613815
120503,-0.013550017162503479
120504,-0.01372819329593977
120505,-0.018891786198692737
120506,-0.01438846289908091
120507,-0.0002215735138934471
120841,-0.013141782186804063
120842,-0.018218530452556076
120843,-0.014507941385630472
120844,-0.0002847927282355608
125497,-0.014591769071140459
125498,-0.018365320169601015
148567,-0.01355977641751056
148568,-0.014711531333512792
148569,-0.017118192655621135
149322,-0.01447385198379274
149323,-0.017882076201903466
149324,-0.02348306938677715
