amfi_code,alpha,beta
100016,0.035008020122776796,0.004843355020744262
100025,0.04333049544115674,-0.0034221767263396337
100033,0.26875229141391044,0.02409659525974328
101206,0.21465600456186984,-6.730818908691792e-05
101207,0.11024955018619279,-0.023588228858982988
101208,0.06085212112251844,0.0001258750471630133
102885,0.17094095164685527,-0.007555188223630716
102886,0.03194911544827528,-0.030680122817594854
102887,0.16106251568117863,0.011217405044515625
118632,0.2157852505239689,0.01615659515806825
118633,0.15755299358545502,-0.01608648663914648
118634,0.17568123177332165,0.01801235144289968
118635,0.15065271641931977,0.004783934691773853
118636,0.051060743722708336,-0.0019685309804787486
119092,0.06701143712338226,0.016382992455286176
119093,0.08091817265695568,0.01583015501459121
119094,0.2627316899588547,-0.02872862296112551
119095,0.04875277581131942,-0.020067492788233516
119120,0.0560605067032488,-0.00035082554474262306
119551,0.23454374664870614,-0.025189498642974626
119552,0.20047597382446736,-0.01861871945625362
119598,0.303144867465332,-0.0035080093727523484
119599,0.049328065524053666,0.01007266360175662
120503,0.1755417235928387,0.0018104631368765333
120504,0.21609064980413412,-0.026139233988137493
120505,0.29508521272984833,-0.017453793025029023
120506,0.1600230125795732,0.027298914610087537
120507,0.06751273831066396,-0.00046135564097556954
120841,0.13270798966179026,-0.008324367260956674
120842,0.080481558797897,-0.01350103494777851
120843,0.27321125754709386,-0.0043698864336394845
120844,0.0646054190026635,-0.00043750586414993296
125497,0.1776220377104348,0.008449617960571592
125498,0.11764356212760835,0.018124989067816785
148567,0.2691067256955176,0.010472156175636847
148568,0.20841945067406478,-0.0035965236798082716
148569,0.2808029988427154,0.01764127461601426
149322,0.13307516786532644,-0.010532478260407643
149323,0.26573261554511396,0.0012594990971761925
149324,0.2958210599599487,0.03666692667132801
