amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
148567,0.1458071475984759,0.3127857318272198,,1.4482911703262595,0.2691067256955176,0.010472156175636847,-0.11265729075028275,4.0,1.0,6.0,8.0,4.65
120843,0.2848107293384283,0.2566188265022562,,1.3067439695428409,0.27321125754709386,-0.0043698864336394845,-0.1297396816518679,10.0,2.0,5.0,13.0,7.75
101206,0.4509392715300502,0.32528591355184844,,1.0272133278753697,0.21465600456186984,-6.730818908691792e-05,-0.11291596329323073,3.0,9.0,13.0,9.0,8.0
100033,0.4773458959806238,0.3362921056230763,,1.0936987435346315,0.26875229141391044,0.02409659525974328,-0.16217208574644848,2.0,7.0,7.0,20.0,8.75
120504,0.11500730028249406,0.28369809430069837,,1.0265242847992997,0.21609064980413412,-0.026139233988137493,-0.12588275606922517,6.0,10.0,11.0,12.0,9.5
120505,0.3035341170540422,0.30206534630200976,,1.1801011976606492,0.29508521272984833,-0.017453793025029023,-0.18188513572116294,5.0,5.0,3.0,25.0,9.6
119551,0.48883881388717176,0.27727427651752534,,1.2082665673727175,0.23454374664870614,-0.025189498642974626,-0.1501238549864533,8.0,4.0,10.0,17.0,9.65
148569,0.4446574419216476,0.23317122535147572,,1.2349300257743294,0.2808029988427154,0.01764127461601426,-0.1639674294693263,13.0,3.0,4.0,21.0,10.7
119094,0.30918202012534524,0.3606601747719518,,0.9982309868636414,0.2627316899588547,-0.02872862296112551,-0.20960883862039192,1.0,11.0,9.0,28.0,11.85
149323,0.22305604128077272,0.24242464971409516,,1.132121852474724,0.26573261554511396,0.0012594990971761925,-0.17248105753451382,12.0,6.0,8.0,22.0,12.2
119598,0.8453224636924352,0.27814418371202754,,0.9453082575156093,0.303144867465332,-0.0035080093727523484,-0.2870600572176455,7.0,14.0,1.0,36.0,14.8
102885,0.18318548216870223,0.17520119946365442,,0.8170993373494365,0.17094095164685527,-0.007555188223630716,-0.1085986215250232,19.0,16.0,19.0,7.0,15.25
118632,0.21776763418747302,0.18088593620415083,,1.0816591793457035,0.2157852505239689,0.01615659515806825,-0.17414075086657232,17.0,8.0,12.0,23.0,15.25
119552,0.08251685485100624,0.15383382573944893,,0.9532794968660094,0.20047597382446736,-0.01861871945625362,-0.11803493502764295,23.0,12.0,15.0,11.0,15.649999999999999
149324,0.6208181174018113,0.25029675402929885,,0.9497958246616028,0.2958210599599487,0.03666692667132801,-0.31171900300634214,11.0,13.0,2.0,37.0,16.2
125497,0.2934732237752924,0.1770571225538371,,0.775790249821121,0.1776220377104348,0.008449617960571592,-0.15200013055606398,18.0,18.0,16.0,18.0,17.599999999999998
118635,0.21995365120873123,0.16236841860639406,,0.6648569985490616,0.15065271641931977,0.004783934691773853,-0.1165062450540909,22.0,19.0,23.0,10.0,18.45
120503,0.04807407420549259,0.1480416951560286,,0.7979728586052853,0.1755417235928387,0.0018104631368765333,-0.13897862823061635,24.0,17.0,18.0,14.0,18.549999999999997
148568,0.1049631940675948,0.13077495792463978,,0.9262873467360144,0.20841945067406478,-0.0035965236798082716,-0.1527259422823477,25.0,15.0,14.0,19.0,18.8
102887,0.1272785953848785,0.2566304169554934,,0.6195175900829826,0.16106251568117863,0.011217405044515625,-0.21539827112383225,9.0,22.0,20.0,30.0,19.7
120506,0.3289620693417177,0.18246287427399865,,0.6488787755249537,0.1600230125795732,0.027298914610087537,-0.1982565826298267,15.0,20.0,21.0,27.0,20.45
120507,0.07014400079311978,0.07051904540600296,,0.49572339295331247,0.06751273831066396,-0.00046135564097556954,-0.0009773140045925555,29.0,23.0,30.0,1.0,20.7
118633,0.28406736513935327,0.18128823270614958,,0.6452074382933211,0.15755299358545502,-0.01608648663914648,-0.18629743138595511,16.0,21.0,22.0,26.0,20.950000000000003
149322,0.1912760461187113,0.16528044392382957,,0.46403744922047724,0.13307516786532644,-0.010532478260407643,-0.14844576917771746,21.0,25.0,24.0,16.0,21.35
120841,0.18155118861657193,0.16684258851596145,,0.4942725378672353,0.13270798966179026,-0.008324367260956674,-0.1757361416468729,20.0,24.0,25.0,24.0,23.0
120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557284,0.0646054190026635,-0.00043750586414993296,-0.0011629327956168556,30.0,34.0,32.0,2.0,24.4
119093,0.19794246952869954,0.20575450839484977,,0.1296144979566932,0.08091817265695568,0.01583015501459121,-0.21751396370148224,14.0,29.0,28.0,31.0,24.8
118634,0.2236521211328215,0.0758063522976058,,0.4484340089089914,0.17568123177332165,0.01801235144289968,-0.2334488614483311,28.0,26.0,17.0,32.0,26.3
101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088261,0.06085212112251844,0.0001258750471630133,-0.0016224980244717857,31.0,40.0,33.0,3.0,26.65
119120,0.0572307956371807,0.05606028649588968,,-0.22657538662791585,0.0560605067032488,-0.00035082554474262306,-0.04328728923970093,32.0,37.0,34.0,5.0,26.900000000000002
125498,0.16670899216585977,0.12492937768565682,,0.30061192104254764,0.11764356212760835,0.018124989067816785,-0.21117279560132118,26.0,27.0,26.0,29.0,27.0
118636,0.10622598136417083,0.04152061472814461,,-0.3566295075143679,0.051060743722708336,-0.0019685309804787486,-0.08316361763638702,34.0,38.0,35.0,6.0,28.2
119092,0.034029890817970365,0.005559688070353008,,0.030784850954585923,0.06701143712338226,0.016382992455286176,-0.1440161790933726,35.0,31.0,31.0,15.0,28.2
100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476845,0.04333049544115674,-0.0034221767263396337,-0.04308263824636349,33.0,39.0,38.0,4.0,28.25
120842,0.18605448815462422,0.10040620430039637,,0.07599984804658923,0.080481558797897,-0.01350103494777851,-0.24003511326274884,27.0,30.0,29.0,33.0,29.65
101207,-0.24242050015436856,-0.026964750873929244,,0.1626607692864677,0.11024955018619279,-0.023588228858982988,-0.3544691649336603,39.0,28.0,27.0,38.0,33.6
100016,-0.033055090768621787,-0.00031627759670682654,,-0.20151706755966942,0.035008020122776796,0.004843355020744262,-0.24734440880673303,36.0,35.0,39.0,34.0,35.849999999999994
119599,0.1190796983675011,-0.006866124385353167,,-0.057186625828179925,0.049328065524053666,0.01007266360175662,-0.5257422117012851,37.0,32.0,36.0,40.0,36.3
102886,-0.13226101829615933,-0.01832224809009908,,-0.2058316078547032,0.03194911544827528,-0.030680122817594854,-0.2800112356639287,38.0,36.0,40.0,35.0,37.15
119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478916,0.04875277581131942,-0.020067492788233516,-0.5167775370852656,40.0,33.0,37.0,39.0,37.4
